Generic Name,Product,Company,ndc11,ndc_description,pricing_unit,2025,2024,2023,2022,Technology,Mechanism of Action,Corrected EphMRA Code
bimekizumab,bimzelx,"ucb, inc.",50474078185,BIMZELX 160 MG/ML AUTOINJECTOR,ML,7696.95,,,,Monoclonal antibody,Interleukin (IL) antagonist; Interleukin-17A (IL-17A) antagonist; Interleukin-17A (IL-17A) antibody; Interleukin-17F (IL-17F) antibody,L4C (Interleukin Inhibitors)
bimekizumab,bimzelx,"ucb, inc.",50474078284,BIMZELX 320 MG/2 ML AUTOINJECT,ML,7654.618,,,,Monoclonal antibody,Interleukin (IL) antagonist; Interleukin-17A (IL-17A) antagonist; Interleukin-17A (IL-17A) antibody; Interleukin-17F (IL-17F) antibody,L4C (Interleukin Inhibitors)
certolizumab,cimzia,"ucb, inc.",50474071079,CIMZIA 2X200 MG/ML SYRINGE KIT,EA,5821.325,5525.40057,5235.84426,4944.14,Recombinant antibody,Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
certolizumab,cimzia,"ucb, inc.",50474071081,CIMZIA 2X200 MG/ML(X3)START KT,EA,5783.34636,5513.19958,,,Recombinant antibody,Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
denosumab,jubbonti,sandoz inc,61314024063,JUBBONTI 60 MG/ML SYRINGE,ML,1533.79769,,,,Recombinant antibody,Osteoclast inhibitor; Receptor activator of nuclear factor kappa-B (RANK) ligand antibody; Receptor activator of nuclear factor kappa-B ligand (RANKL) inhibitor,M5B9 (Other Bone Calcium Regulators)
denosumab,prolia,"amgen, inc",55513071001,PROLIA 60 MG/ML SYRINGE,ML,1809.66113,1723.69042,1570.93834,1428.42248,Recombinant antibody,Osteoclast inhibitor; Receptor activator of nuclear factor kappa-B (RANK) ligand antibody; Receptor activator of nuclear factor kappa-B ligand (RANKL) inhibitor,M5B9 (Other Bone Calcium Regulators)
denosumab,prolia,"amgen, inc",55513071021,PROLIA 60 MG/ML SYRINGE,ML,1809.66113,1723.69042,,,Recombinant antibody,Osteoclast inhibitor; Receptor activator of nuclear factor kappa-B (RANK) ligand antibody; Receptor activator of nuclear factor kappa-B ligand (RANKL) inhibitor,M5B9 (Other Bone Calcium Regulators)
denosumab,xgeva,"amgen, inc",55513073001,XGEVA 120 MG/1.7 ML VIAL,ML,1943.22018,,,,Monoclonal antibody,Osteoclast inhibitor; Receptor activator of nuclear factor kappa-B (RANK) ligand antibody; Receptor activator of nuclear factor kappa-B ligand (RANKL) inhibitor,M5B9 (Other Bone Calcium Regulators)
denosumab,xgeva,"amgen, inc",55513073021,XGEVA 120 MG/1.7 ML VIAL,ML,1943.22018,,,,Monoclonal antibody,Osteoclast inhibitor; Receptor activator of nuclear factor kappa-B (RANK) ligand antibody; Receptor activator of nuclear factor kappa-B ligand (RANKL) inhibitor,M5B9 (Other Bone Calcium Regulators)
dupilumab,dupixent,sanofi-aventis u.s. llc,00024591401,DUPIXENT 300 MG/2 ML SYRINGE,ML,961.86456,916.394,867.39309,818.29537,Monoclonal antibody,Interleukin-13 (IL-13) receptor antagonist; Interleukin-4 (IL-4) receptor antagonist; Interleukin-4 (IL-4) receptor subunit alpha antagonist,L4C (Interleukin Inhibitors)
