input_name,brand_name,labeler_name,ndc11,ndc_description,pricing_unit,nadac_per_unit_2025,nadac_per_unit_2024,nadac_per_unit_2023,nadac_per_unit_2022
adalimumab,Humira,Cordavis Limited,83457055402,,,,,,
adalimumab,,Novo Nordisk Production Belgium SA,43835003301,,,,,,
adalimumab,Adalimumab-bwwd,Cordavis Limited,83457018601,,,,,,
adalimumab,Humira,AbbVie Inc.,00074024302,HUMIRA(CF) 40 MG/0.4 ML SYRINGE,EA,3366.45250,3360.88184,3373.39012,3123.50937
adalimumab,Adalimumab-bwwd,Cordavis Limited,83457018701,,,,,,
adalimumab,Humira,Cordavis Limited,83457024302,,,,,,
adalimumab,Humira,Cordavis Limited,83457061602,,,,,,
adalimumab,,Novo Nordisk Production Belgium SA,43835003501,,,,,,
adalimumab,,Novo Nordisk Production Belgium SA,43835003502,,,,,,
adalimumab,,Novo Nordisk Production Belgium SA,43835003601,,,,,,
adalimumab,Humira,Cordavis Limited,83457081702,,,,,,
adalimumab,Humira,AbbVie Inc.,00074254001,,,,,,
adalimumab,ABRILADA,Pfizer Laboratories Div Pfizer Inc,00069032802,,,,,,
adalimumab,,"CELLTRION, Inc",32228000901,,,,,,
adalimumab,,"CELLTRION, Inc",32228000601,,,,,,
adalimumab,,"CELLTRION, Inc",32228000701,,,,,,
adalimumab,,"CELLTRION, Inc",32228000801,,,,,,
adalimumab,,"CELLTRION, Inc",32228001001,,,,,,
adalimumab,HUMIRA,A-S Medication Solutions,50090448700,,,,,,
adalimumab,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597048520,,,,,,
adalimumab,,Terumo Corporation,53877080101,,,,,,
adalimumab,,Terumo Corporation,53877080201,,,,,,
adalimumab,HADLIMA,A-S Medication Solutions,50090670700,,,,,,
adalimumab,HADLIMA,A-S Medication Solutions,50090670500,,,,,,
adalimumab,HADLIMA,A-S Medication Solutions,50090670600,,,,,,
adalimumab,Humira,AbbVie Inc.,00074433902,HUMIRA PEN 40 MG/0.8 ML,EA,3366.11847,3362.30460,3369.03246,3119.47450
adalimumab,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597049550,,,,,,
